MemberCode,Id,AssignmentStatusCode,MemberId,WorkerAmazonId,Ip,BonusIdx,TotalBonus,AcceptTime,AutoApprovalTime,Deadline,SubmitTime,ApprovalTime,RejectionTime,Duration,PluralityAnswersCorrect,PluralityAnswersIncorrect,WorkerAgreementScore,Score,WorkerPayment,TaskId,Longitude,Latitude,TheGeom,ScheduledTime,StudyDay,WithinDayIndex,EmaStatusCode,TriggerTypeCode,FirstResponseTime,LastResponseTime,LastReminderTime,ErrorMessage,QuestionCode,ExtraJson,HitStatusCode,WaveId,WaveCode,TaskCode,whether_use,whether_use__score_Decision_Making,whether_use__score_Freedom_from_Coercion,whether_use__score_Communication,method,method__score_Decision_Making,method__score_Freedom_from_Coercion,method__score_Communication,baby,baby__score_Decision_Making,baby__score_Freedom_from_Coercion,baby__score_Communication,abortion,abortion__score_Decision_Making,abortion__score_Freedom_from_Coercion,abortion__score_Communication,gender,gender__score_Decision_Making,gender__score_Freedom_from_Coercion,gender__score_Communication,score_Decision_Making,score_Freedom_from_Coercion,score_Communication
a8ye1tdy708qw,1177,Submitted,1108,A8YE1TDY708QW,128.122.59.245/32,,0,2015-11-24T17:05:54+0000,,,2015-11-24T17:06:42+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,3,,,,3,,,,2,,,,2,,,,2,,,,0,0,0
a2yvpt5wezga8z,1176,Submitted,1176,A2YVPT5WEZGA8Z,172.101.168.234/32,,0,2015-11-24T16:58:06+0000,,,2015-11-24T16:59:22+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,3,,,,3,,,,2,,,,3,,,,2,,,,0,0,0
a2ezp38klcl8db,1175,Returned,1175,A2EZP38KLCL8DB,155.219.24.74/32,,0,2015-11-24T16:52:18+0000,,,,,,,,,,,,84,,,,,,,,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,,,,,,,,,,,,,,,,,,,,,,,
a3398sw8dh3uhn,1173,Submitted,1173,A3398SW8DH3UHN,174.53.15.27/32,,0,2015-11-24T16:47:47+0000,,,2015-11-24T16:49:09+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,2,,,,3,,,,2,,,,3,,,,2,,,,0,0,0
a3gtybsv2fox8g,1172,Submitted,1172,A3GTYBSV2FOX8G,180.215.123.23/32,,0,2015-11-24T16:39:15+0000,,,2015-11-24T16:40:09+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,1,,,,2,,,,2,,,,2,,,,2,,,,0,0,0
a1uizo0d1wc4h6,1171,Returned,1171,A1UIZO0D1WC4H6,172.98.67.47/32,,0,2015-11-24T16:38:30+0000,,,,,,,,,,,,84,,,,,,,,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,,,,,,,,,,,,,,,,,,,,,,,
a2hgaq9woeu9pn,1169,Submitted,1169,A2HGAQ9WOEU9PN,75.185.36.89/32,,0,2015-11-24T16:35:45+0000,,,2015-11-24T16:36:53+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,3,,,,3,,,,3,,,,2,,,,1,,,,0,0,0
aiukv0kvalmy6,1170,Submitted,1170,AIUKV0KVALMY6,75.68.119.60/32,,0,2015-11-24T16:36:46+0000,,,2015-11-24T16:37:06+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,3,,,,3,,,,3,,,,3,,,,2,,,,0,0,0
a1j04lcvpiwvb0,1166,Submitted,1167,A1J04LCVPIWVB0,107.223.130.225/32,,0,2015-11-24T16:31:42+0000,,,2015-11-24T16:33:38+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,2,,,,2,,,,2,,,,2,,,,1,,,,0,0,0
a3mexvf979s444,1167,Submitted,1168,A3MEXVF979S444,24.59.119.125/32,,0,2015-11-24T16:31:40+0000,,,2015-11-24T16:32:17+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,2,,,,2,,,,2,,,,2,,,,1,,,,0,0,0
axcprxo08dfah,1165,Submitted,1166,AXCPRXO08DFAH,122.164.138.254/32,,0,2015-11-24T16:30:25+0000,,,2015-11-24T16:32:22+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,2,,,,3,,,,1,,,,1,,,,1,,,,0,0,0
a1khk2c32m9ber,1159,Submitted,1165,A1KHK2C32M9BER,93.136.10.150/32,,0,2015-11-24T16:28:02+0000,,,2015-11-24T16:29:50+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,1,,,,3,,,,1,,,,2,,,,1,,,,0,0,0
a12dravzsurcnq,1163,Submitted,1163,A12DRAVZSURCNQ,104.207.136.96/32,,0,2015-11-24T16:29:00+0000,,,2015-11-24T16:29:50+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,1,,,,2,,,,2,,,,2,,,,1,,,,0,0,0
arfk5jvm6g8t2,1164,Submitted,1164,ARFK5JVM6G8T2,76.177.218.174/32,,0,2015-11-24T16:29:10+0000,,,2015-11-24T16:29:50+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,1,,,,1,,,,2,,,,2,,,,1,,,,0,0,0
a273ds7tqwr9m1,1161,Submitted,1161,A273DS7TQWR9M1,24.12.154.253/32,,0,2015-11-24T16:28:39+0000,,,2015-11-24T16:29:47+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,2,,,,2,,,,2,,,,2,,,,1,,,,0,0,0
a154x03nkvzzl1,1160,Submitted,1160,A154X03NKVZZL1,148.74.20.127/32,,0,2015-11-24T16:28:35+0000,,,2015-11-24T16:29:10+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,3,,,,3,,,,2,,,,2,,,,1,,,,0,0,0
a33qbhgr75312l,1162,Submitted,1162,A33QBHGR75312L,197.164.35.30/32,,0,2015-11-24T16:28:46+0000,,,2015-11-24T16:29:42+0000,,,,,,,,,84,,,,,,,complete,,,,,,,,Assignable,78,reproductive_autonomy_turk_opinion_8,reproductive-autonomy-turk-opinion2015-11-24-4-26-33pm,2,,,,2,,,,3,,,,2,,,,1,,,,0,0,0
