MemberCode,Id,AssignmentStatusCode,MemberId,WorkerAmazonId,Ip,BonusIdx,TotalBonus,AcceptTime,AutoApprovalTime,Deadline,SubmitTime,ApprovalTime,RejectionTime,Duration,PluralityAnswersCorrect,PluralityAnswersIncorrect,WorkerAgreementScore,Score,WorkerPayment,TaskId,Longitude,Latitude,TheGeom,ScheduledTime,StudyDay,WithinDayIndex,EmaStatusCode,TriggerTypeCode,FirstResponseTime,LastResponseTime,LastReminderTime,ErrorMessage,QuestionCode,ExtraJson,HitStatusCode,WaveId,WaveCode,TaskCode,influence,influence__score_raw,influence__score_dichotomous,many_years,many_years__score_raw,many_years__score_dichotomous,q3,q3__score_raw,q3__score_dichotomous,q4,q4__score_raw,q4__score_dichotomous,q5,q5__score_raw,q5__score_dichotomous,q6,q6__score_raw,q6__score_dichotomous,q7,q7__score_raw,q7__score_dichotomous,q8,q8__score_raw,q8__score_dichotomous,q9,q9__score_raw,q9__score_dichotomous,q10,q10__score_raw,q10__score_dichotomous,q11,q11__score_raw,q11__score_dichotomous,q12,q12__score_raw,q12__score_dichotomous,q13,q13__score_raw,q13__score_dichotomous,score_raw,score_dichotomous
a25s4jaeh0d1ft,280,Submitted,321,A25S4JAEH0D1FT,70.113.9.94/32,,0,2015-11-18T21:44:42+0000,,,2015-11-18T21:53:08+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,5,5,1,5,5,1,1,1,0,1,1,0,2,2,0,5,5,1,5,5,1,4,4,1,2,2,0,"There is nothing here?",,,5,5,1,1,1,0,5,5,1,41,7
a1f669otxwijw0,287,Submitted,327,A1F669OTXWIJW0,108.54.221.23/32,,0,2015-11-18T21:44:56+0000,,,2015-11-18T21:52:56+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,4,4,1,4,4,1,4,4,1,2,2,0,3,3,0,4,4,1,5,5,1,3,3,0,1,1,0,?,,,2,2,0,1,1,0,1,1,0,34,5
a2xha2agmu4sbf,317,Submitted,362,A2XHA2AGMU4SBF,76.201.79.53/32,,0,2015-11-18T21:50:50+0000,,,2015-11-18T21:52:30+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,3,3,0,3,3,0,2,2,0,3,3,0,2,2,0,4,4,1,3,3,0,2,2,0,3,3,0,"I cannot see this question it is cut off",,,2,2,0,3,3,0,2,2,0,32,1
a248to3ptv0k5p,271,Submitted,363,A248TO3PTV0K5P,72.80.33.210/32,,0,2015-11-18T21:50:20+0000,,,2015-11-18T21:51:36+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,5,5,1,5,5,1,1,1,0,1,1,0,2,2,0,5,5,1,5,5,1,5,5,1,1,1,0,"this question did not load",,,1,1,0,1,1,0,4,4,1,36,6
ak467m5vtg7n4,311,Submitted,349,AK467M5VTG7N4,96.225.51.31/32,,0,2015-11-18T21:46:06+0000,,,2015-11-18T21:50:38+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,4,4,1,4,4,1,2,2,0,2,2,0,3,3,0,4,4,1,5,5,1,5,5,1,1,1,0,"This question is broken and doesn't appear.",,,1,1,0,1,1,0,2,2,0,34,5
a3epdu2o2jmr50,272,Submitted,316,A3EPDU2O2JMR50,24.166.101.251/32,,0,2015-11-18T21:44:35+0000,,,2015-11-18T21:49:57+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,4,4,1,2,2,0,2,2,0,2,2,0,4,4,1,3,3,0,4,4,1,4,4,1,1,1,0,"Error in the survey.  There's just a blank box here.  Not sure what for.",,,1,1,0,2,2,0,4,4,1,33,5
a1w7qllenvp2ae,316,Submitted,355,A1W7QLLENVP2AE,76.120.127.214/32,,0,2015-11-18T21:48:16+0000,,,2015-11-18T21:49:53+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,5,5,1,2,2,0,4,4,1,4,4,1,4,4,1,5,5,1,5,5,1,4,4,1,4,4,1,blank,,,4,4,1,4,4,1,5,5,1,50,11
a3096zop616zin,270,Submitted,361,A3096ZOP616ZIN,173.24.30.25/32,,0,2015-11-18T21:48:58+0000,,,2015-11-18T21:49:53+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,4,4,1,4,4,1,2,2,0,2,2,0,3,3,0,4,4,1,5,5,1,4,4,1,2,2,0,10,,,1,1,0,1,1,0,2,2,0,34,5
a11r8g0fya2uvq,308,Submitted,346,A11R8G0FYA2UVQ,96.59.135.122/32,,0,2015-11-18T21:46:02+0000,,,2015-11-18T21:49:45+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,5,5,1,5,5,1,2,2,0,2,2,0,2,2,0,5,5,1,4,4,1,5,5,1,2,2,0,"no question shows to answer",,,2,2,0,2,2,0,2,2,0,38,5
a3w3yx3tpd0zbo,315,Submitted,353,A3W3YX3TPD0ZBO,73.208.166.20/32,,0,2015-11-18T21:46:37+0000,,,2015-11-18T21:49:42+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,4,4,1,3,3,0,4,4,1,4,4,1,5,5,1,3,3,0,2,2,0,3,3,0,5,5,1,"problem with this question",,,3,3,0,3,3,0,3,3,0,42,5
asb8t0h7l99rf,298,Submitted,360,ASB8T0H7L99RF,104.156.228.200/32,,0,2015-11-18T21:45:23+0000,,,2015-11-18T21:49:41+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,4,4,1,4,4,1,2,2,0,2,2,0,4,4,1,4,4,1,4,4,1,4,4,1,2,2,0,"the question is not visible",,,2,2,0,2,2,0,2,2,0,36,6
a2os0vcsqlu3he,310,Submitted,359,A2OS0VCSQLU3HE,70.185.165.111/32,,0,2015-11-18T21:48:14+0000,,,2015-11-18T21:49:38+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,2,2,0,2,2,0,4,4,1,4,4,1,4,4,1,2,2,0,3,3,0,3,3,0,2,2,0,n/a,,,3,3,0,4,4,1,5,5,1,38,5
a3pn17h3qt51o,291,Submitted,358,A3PN17H3QT51O,24.26.62.94/32,,0,2015-11-18T21:46:36+0000,,,2015-11-18T21:49:28+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,4,4,1,4,4,1,2,2,0,2,2,0,3,3,0,4,4,1,4,4,1,4,4,1,2,2,0,Aligator,,,2,2,0,2,2,0,2,2,0,35,5
a1p9obgx73agsl,268,Submitted,357,A1P9OBGX73AGSL,190.148.140.7/32,,0,2015-11-18T21:46:27+0000,,,2015-11-18T21:49:12+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,4,4,1,5,5,1,2,2,0,2,2,0,4,4,1,4,4,1,5,5,1,4,4,1,2,2,0,"I do not see anything here",,,1,1,0,2,2,0,2,2,0,37,6
a1t9ike8gv4lr4,274,Submitted,356,A1T9IKE8GV4LR4,98.203.225.34/32,,0,2015-11-18T21:47:25+0000,,,2015-11-18T21:49:01+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,5,5,1,3,3,0,2,2,0,1,1,0,3,3,0,4,4,1,5,5,1,5,5,1,1,1,0,"This question is not showing up and appears blank/cut-off on my screen.",,,2,2,0,1,1,0,2,2,0,34,4
a3icwvgcedrxs0,304,Submitted,342,A3ICWVGCEDRXS0,75.16.188.185/32,,0,2015-11-18T21:45:54+0000,,,2015-11-18T21:48:52+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,4,4,1,3,3,0,3,3,0,2,2,0,4,4,1,2,2,0,3,3,0,3,3,0,3,3,0,"???There is no question here???",,,2,2,0,2,2,0,3,3,0,34,2
a29huscmp9tkww,303,Submitted,341,A29HUSCMP9TKWW,173.10.138.194/32,,0,2015-11-18T21:45:49+0000,,,2015-11-18T21:48:35+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,5,5,1,5,5,1,1,1,0,1,1,0,2,2,0,5,5,1,4,4,1,5,5,1,1,1,0,"This box looks like it's errored out",,,1,1,0,1,1,0,3,3,0,34,5
a31q7pwlbcu2x0,295,Submitted,334,A31Q7PWLBCU2X0,97.41.136.50/32,,0,2015-11-18T21:45:14+0000,,,2015-11-18T21:48:21+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,4,4,1,4,4,1,2,2,0,2,2,0,1,1,0,4,4,1,5,5,1,4,4,1,1,1,0,"I don't see a question here.",,,1,1,0,1,1,0,4,4,1,33,6
a1wryufoyff8qo,300,Submitted,338,A1WRYUFOYFF8QO,23.228.142.62/32,,0,2015-11-18T21:45:27+0000,,,2015-11-18T21:48:16+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,4,4,1,4,4,1,2,2,0,2,2,0,3,3,0,4,4,1,5,5,1,4,4,1,2,2,0,n/a,,,1,1,0,1,1,0,3,3,0,35,5
a38dc3bg1zcvz2,293,Submitted,332,A38DC3BG1ZCVZ2,104.156.228.200/32,,0,2015-11-18T21:45:07+0000,,,2015-11-18T21:48:13+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,4,4,1,4,4,1,2,2,0,2,2,0,2,2,0,4,4,1,4,4,1,4,4,1,1,1,0,?,,,2,2,0,2,2,0,2,2,0,33,5
a39udx6aa4vrkl,305,Submitted,354,A39UDX6AA4VRKL,68.108.154.92/32,,0,2015-11-18T21:46:16+0000,,,2015-11-18T21:48:00+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,4,4,1,5,5,1,1,1,0,2,2,0,3,3,0,4,4,1,5,5,1,3,3,0,1,1,0,"This question did not load",,,2,2,0,1,1,0,1,1,0,32,4
a1osrb1q63xxwz,292,Submitted,331,A1OSRB1Q63XXWZ,184.89.76.190/32,,0,2015-11-18T21:45:09+0000,,,2015-11-18T21:47:55+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,4,4,1,4,4,1,2,2,0,2,2,0,4,4,1,4,4,1,2,2,0,2,2,0,3,3,0,uncertain,,,2,2,0,2,2,0,2,2,0,33,4
a4e1uypdhe8d8,302,Submitted,340,A4E1UYPDHE8D8,72.218.214.239/32,,0,2015-11-18T21:45:37+0000,,,2015-11-18T21:47:54+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,4,4,1,4,4,1,1,1,0,2,2,0,4,4,1,4,4,1,5,5,1,4,4,1,1,1,0,"I can't see the question for number 10",,,1,1,0,1,1,0,2,2,0,33,6
a1j04lcvpiwvb0,314,Submitted,352,A1J04LCVPIWVB0,12.184.218.22/32,,0,2015-11-18T21:46:19+0000,,,2015-11-18T21:47:52+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,5,5,1,5,5,1,1,1,0,1,1,0,2,2,0,5,5,1,5,5,1,5,5,1,1,1,0,?,,,1,1,0,1,1,0,2,2,0,34,5
a1a3tgz7dkjwrw,278,Submitted,17,A1A3TGZ7DKJWRW,104.174.222.43/32,,0,2015-11-18T21:44:40+0000,,,2015-11-18T21:47:31+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,2,2,0,2,2,0,4,4,1,4,4,1,4,4,1,2,2,0,2,2,0,2,2,0,4,4,1,N/A,,,4,4,1,4,4,1,4,4,1,38,7
a1krskhqc8mpam,306,Submitted,344,A1KRSKHQC8MPAM,76.178.130.54/32,,0,2015-11-18T21:45:58+0000,,,2015-11-18T21:47:16+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,4,4,1,4,4,1,1,1,0,1,1,0,4,4,1,4,4,1,5,5,1,4,4,1,1,1,0,"There was no question here.",,,1,1,0,1,1,0,2,2,0,32,6
a3swhinc01job5,289,Submitted,329,A3SWHINC01JOB5,70.199.216.7/32,,0,2015-11-18T21:45:00+0000,,,2015-11-18T21:47:14+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,4,4,1,4,4,1,2,2,0,2,2,0,4,4,1,4,4,1,5,5,1,2,2,0,2,2,0,"There is no question for this",,,5,5,1,1,1,0,2,2,0,37,6
a2lpruxrreykgo,288,Submitted,328,A2LPRUXRREYKGO,73.228.181.231/32,,0,2015-11-18T21:44:56+0000,,,2015-11-18T21:47:09+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,2,2,0,2,2,0,4,4,1,4,4,1,4,4,1,2,2,0,4,4,1,3,3,0,2,2,0,"There is no question written",,,2,2,0,2,2,0,3,3,0,34,4
ampmtf5iaamk8,273,Submitted,18,AMPMTF5IAAMK8,75.129.249.202/32,,0,2015-11-18T21:44:37+0000,,,2015-11-18T21:47:07+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,2,2,0,2,2,0,4,4,1,4,4,1,5,5,1,2,2,0,4,4,1,2,2,0,4,4,1,"maybe buggy idk",,,4,4,1,4,4,1,5,5,1,42,8
a8jxt1n2citem,301,Submitted,339,A8JXT1N2CITEM,74.77.106.120/32,,0,2015-11-18T21:45:28+0000,,,2015-11-18T21:47:04+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,4,4,1,4,4,1,2,2,0,2,2,0,2,2,0,4,4,1,4,4,1,4,4,1,2,2,0,NA,,,2,2,0,2,2,0,2,2,0,34,5
a1laz3ao0nybc1,267,Submitted,14,A1LAZ3AO0NYBC1,72.185.194.128/32,,0,2015-11-18T21:44:31+0000,,,2015-11-18T21:47:04+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,4,4,1,3,3,0,4,4,1,5,5,1,4,4,1,3,3,0,4,4,1,5,5,1,3,3,0,"cant read",,,4,4,1,3,3,0,4,4,1,46,8
aldqrwyz8kq9a,294,Submitted,333,ALDQRWYZ8KQ9A,24.225.119.55/32,,0,2015-11-18T21:45:14+0000,,,2015-11-18T21:46:56+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,4,4,1,4,4,1,2,2,0,2,2,0,3,3,0,4,4,1,4,4,1,5,5,1,1,1,0,"blank question",,,1,1,0,2,2,0,3,3,0,35,5
a356795et25her,299,Submitted,337,A356795ET25HER,63.205.15.60/32,,0,2015-11-18T21:45:24+0000,,,2015-11-18T21:46:49+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,5,5,1,5,5,1,1,1,0,1,1,0,2,2,0,5,5,1,5,5,1,5,5,1,1,1,0,"Cannot see the question",,,5,5,1,1,1,0,5,5,1,41,7
a1fbo95ovbyoh1,269,Submitted,13,A1FBO95OVBYOH1,108.90.121.212/32,,0,2015-11-18T21:44:33+0000,,,2015-11-18T21:46:44+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,5,5,1,5,5,1,1,1,0,1,1,0,5,5,1,5,5,1,5,5,1,5,5,1,1,1,0,"no question",,,1,1,0,1,1,0,2,2,0,37,6
a3m8ja9xn1j04b,279,Submitted,320,A3M8JA9XN1J04B,71.94.188.192/32,,0,2015-11-18T21:44:42+0000,,,2015-11-18T21:46:37+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,4,4,1,4,4,1,2,2,0,1,1,0,3,3,0,4,4,1,5,5,1,4,4,1,2,2,0,"can't see question",,,2,2,0,2,2,0,3,3,0,36,5
a2svsv72ryecb7,296,Submitted,335,A2SVSV72RYECB7,64.246.215.5/32,,0,2015-11-18T21:45:19+0000,,,2015-11-18T21:46:26+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,2,2,0,2,2,0,4,4,1,4,4,1,4,4,1,2,2,0,2,2,0,2,2,0,4,4,1,?,,,4,4,1,4,4,1,4,4,1,38,7
a2kvyrnl2ck95f,275,Submitted,317,A2KVYRNL2CK95F,186.85.251.204/32,,0,2015-11-18T21:44:36+0000,,,2015-11-18T21:46:17+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,4,4,1,4,4,1,2,2,0,2,2,0,3,3,0,4,4,1,4,4,1,4,4,1,2,2,0,"blank question",,,2,2,0,2,2,0,2,2,0,35,5
aw20ba38tbp8o,282,Submitted,323,AW20BA38TBP8O,68.83.220.231/32,,0,2015-11-18T21:44:43+0000,,,2015-11-18T21:46:12+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,5,5,1,5,5,1,1,1,0,1,1,0,4,4,1,5,5,1,5,5,1,5,5,1,1,1,0,?,,,1,1,0,1,1,0,1,1,0,35,6
a3579n2tita69m,285,Submitted,326,A3579N2TITA69M,75.135.71.165/32,,0,2015-11-18T21:44:49+0000,,,2015-11-18T21:46:09+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,4,4,1,3,3,0,4,4,1,3,3,0,4,4,1,3,3,0,4,4,1,3,3,0,3,3,0,blank,,,3,3,0,4,4,1,4,4,1,42,6
a2jchn90pruwdh,284,Submitted,325,A2JCHN90PRUWDH,66.215.43.167/32,,0,2015-11-18T21:44:48+0000,,,2015-11-18T21:45:39+0000,,,,,,,,,53,,,,,,,complete,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,4,4,1,4,4,1,3,3,0,3,3,0,4,4,1,4,4,1,3,3,0,3,3,0,4,4,1,n/a,,,4,4,1,3,3,0,4,4,1,43,7
a1jfz5ex06y8yv,320,Returned,365,A1JFZ5EX06Y8YV,174.24.198.77/32,,0,2015-11-18T21:53:15+0000,,,,,,,,,,,,53,,,,,,,,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a3jvvat09s6hmk,313,Returned,351,A3JVVAT09S6HMK,166.171.123.166/32,,0,2015-11-18T21:46:15+0000,,,,,,,,,,,,53,,,,,,,,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2lv5qyhh24omy,309,Returned,347,AJI76D4U5WGBZ,98.95.39.171/32,,0,2015-11-18T21:46:04+0000,,,,,,,,,,,,53,,,,,,,,,,,,,,,Reviewable,51,cfcs_turk_opinion_class50,cfcs-turk-opinion2015-11-18-9-23-19pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
